label,label_norm
Agricultural Equipment Services,agricultur equip servic
Soil Nutrient Application Services,soil nutrient applic servic
Pesticide Application Services,pesticid applic servic
Ornamental Plant Nurseries,ornament plant nurseri
Landscaping Services,landscap servic
Gardening Services,garden servic
Tree Services - Pruning / Removal,tree servic prune remov
Veterinary Services,veterinari servic
Veterinary Clinics,veterinari clinic
Pet Boarding Services,pet board servic
Animal Day Care Services,anim day care servic
Pet Grooming Services,pet groom servic
Animal Training Services,anim train servic
Veterinary Health Centers,veterinari health center
Animal Trainers,anim trainer
Livestock Dealer Services,livestock dealer servic
Timber Harvesting Operations,timber harvest oper
Fishing and Hunting Services,fish hunt servic
Well Maintenance Services,well mainten servic
Field Welding Services,field weld servic
Sand and Gravel Mining,sand gravel mine
Residential Driveway Construction,residenti driveway construct
Commercial Driveway Construction,commerci driveway construct
Fencing Construction Services,fenc construct servic
Sidewalk Construction Services,sidewalk construct servic
Commercial Irrigation Systems,commerci irrig system
Residential Drainage Systems,residenti drainag system
Residential Snow Removal,residenti snow remov
Commercial Snow Removal,commerci snow remov
General Snow Removal Services,gener snow remov servic
Land Leveling Services,land level servic
Residential Drain Cleaning,residenti drain clean
Commercial Drain Cleaning,commerci drain clean
Street Cleaning Operations,street clean oper
Conveyor System Installation,conveyor system instal
Low-Rise Signage Installation,lowris signag instal
High-Rise Signage Installation,highris signag instal
Tank Installation Services,tank instal servic
Residential Communication Equipment Installation,residenti commun equip instal
Commercial Communication Equipment Installation,commerci commun equip instal
Low-Rise Glass Installation,lowris glass instal
High-Rise Glass Installation,highris glass instal
Industrial Machinery Installation,industri machineri instal
Agricultural Machinery Installation,agricultur machineri instal
Grain Handling Machinery Installation,grain handl machineri instal
Dock and Pier Construction,dock pier construct
Road and Highway Construction,road highway construct
Road Maintenance Services,road mainten servic
Pipeline Construction Services,pipelin construct servic
New Ground Pipeline Installation,new ground pipelin instal
Excavation Services,excav servic
Residential Plumbing Services,residenti plumb servic
Commercial Plumbing Services,commerci plumb servic
Industrial Plumbing Services,industri plumb servic
Boiler Installation Services,boiler instal servic
Boiler Repair Services,boiler repair servic
Steam Services,steam servic
Gas Installation Services,ga instal servic
Medical Gas Installation Services,medic ga instal servic
Fire Protection System Services,fire protect system servic
HVAC Installation and Service,hvac instal servic
HVAC Inspections,hvac inspect
Air Duct Cleaning Services,air duct clean servic
Water Treatment Services,water treatment servic
Residential Electrical Services,residenti electr servic
Commercial Electrical Services,commerci electr servic
Alarm Installation Services,alarm instal servic
Electric Line Construction,electr line construct
Cable Installation Services,cabl instal servic
Elevator Installation Services,elev instal servic
Low-Rise Foundation Construction,lowris foundat construct
High-Rise Foundation Construction,highris foundat construct
Precast Concrete Installation,precast concret instal
Tilt-Up Concrete Services,tiltup concret servic
Masonry Construction Services,masonri construct servic
Drywall Services,drywal servic
Tile Installation Services,tile instal servic
Carpentry Services,carpentri servic
Millwork Services,millwork servic
General Handyman Services,gener handyman servic
Insulation Services,insul servic
Painting Services,paint servic
Spray Painting Services,spray paint servic
Flooring Installation Services,floor instal servic
Interior Design Services,interior design servic
Home Staging Services,home stage servic
Sheet Metal Services,sheet metal servic
Welding Services,weld servic
Structural Steel Erection,structur steel erect
Non-Structural Steel Fabrication,nonstructur steel fabric
Windows and Doors Installation,window door instal
Well Drilling Services,well drill servic
Directional Drilling Services,direct drill servic
Infrastructure Excavation,infrastructur excav
New Ground Excavation,new ground excav
